Code,DerivativesProductCategory,UnderlyingSSO,Date,WholeDayOpen,WholeDayHigh,WholeDayLow,WholeDayClose,MorningSessionOpen,MorningSessionHigh,MorningSessionLow,MorningSessionClose,NightSessionOpen,NightSessionHigh,NightSessionLow,NightSessionClose,DaySessionOpen,DaySessionHigh,DaySessionLow,DaySessionClose,Volume,OpenInterest,TurnoverValue,ContractMonth,StrikePrice,Volume(OnlyAuction),EmergencyMarginTriggerDivision,PutCallDivision,LastTradingDay,SpecialQuotationDay,SettlementPrice,TheoreticalPrice,BaseVolatility,UnderlyingPrice,ImpliedVolatility,InterestRate,CentralContractMonthFlag
148232526,NK225MWE,-,2023-05-29,135.0,140.0,47.0,47.0,,,,,,,,,135.0,140.0,47.0,47.0,153.0,22.0,1126600.0,2023-23,32500.0,153.0,002,2,2023-06-08,2023-06-09,58.0,48.8878,16.8667,31233.54,18.9749,-0.07,1
148238626,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,28625.0,0.0,002,2,2023-06-08,2023-06-09,2695.0,2627.5293,16.8667,31233.54,38.1567,-0.07,1
148232826,NK225MWE,-,2023-05-29,25.0,25.0,25.0,25.0,,,,,,,,,25.0,25.0,25.0,25.0,84.0,0.0,210000.0,2023-23,32875.0,84.0,002,2,2023-06-08,2023-06-09,26.0,24.4703,16.8667,31233.54,18.7885,-0.07,1
148233226,NK225MWE,-,2023-05-29,30.0,35.0,13.0,14.0,,,,,,,,,30.0,35.0,13.0,14.0,10.0,9.0,24100.0,2023-23,33250.0,10.0,002,2,2023-06-08,2023-06-09,14.0,14.0,16.8667,31233.54,19.5588,-0.07,1
148239726,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,29750.0,0.0,002,2,2023-06-08,2023-06-09,1595.0,1534.3476,16.8667,31233.54,27.1121,-0.07,1
148239226,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,29250.0,0.0,002,2,2023-06-08,2023-06-09,2080.0,2014.4869,16.8667,31233.54,31.915,-0.07,1
138238126,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,28125.0,0.0,002,1,2023-06-08,2023-06-09,13.0,15.0059,16.8667,31233.54,30.1211,-0.07,1
148233026,NK225MWE,-,2023-05-29,70.0,100.0,24.0,28.0,,,,,,,,,70.0,100.0,24.0,28.0,25.0,14.0,116500.0,2023-23,33000.0,25.0,002,2,2023-06-08,2023-06-09,23.0,19.4394,16.8667,31233.54,19.3705,-0.07,1
138232026,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,32000.0,0.0,002,1,2023-06-08,2023-06-09,835.0,889.041,16.8667,31233.54,14.272,-0.07,1
148231626,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,31625.0,0.0,002,2,2023-06-08,2023-06-09,220.0,205.279,16.8667,31233.54,17.6738,-0.07,1
138233726,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,33750.0,0.0,002,1,2023-06-08,2023-06-09,2460.0,2525.2788,16.8667,31233.54,1.0,-0.07,1
148233826,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,33875.0,0.0,002,2,2023-06-08,2023-06-09,5.0,7.0223,16.8667,31233.54,20.8064,-0.07,1
148232626,NK225MWE,-,2023-05-29,47.0,47.0,47.0,47.0,,,,,,,,,47.0,47.0,47.0,47.0,100.0,0.0,470000.0,2023-23,32625.0,100.0,002,2,2023-06-08,2023-06-09,46.0,38.7184,16.8667,31233.54,19.0296,-0.07,1
138232626,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,32625.0,0.0,002,1,2023-06-08,2023-06-09,1375.0,1436.0004,16.8667,31233.54,1.0,-0.07,1
148231726,NK225MWE,-,2023-05-29,235.0,235.0,170.0,180.0,,,,,,,,,235.0,235.0,170.0,180.0,494.0,8.0,9655000.0,2023-23,31750.0,494.0,002,2,2023-06-08,2023-06-09,195.0,172.1805,16.8667,31233.54,18.4203,-0.07,1
148231826,NK225MWE,-,2023-05-29,220.0,220.0,140.0,160.0,,,,,,,,,220.0,220.0,140.0,160.0,1132.0,7.0,19865000.0,2023-23,31875.0,1132.0,002,2,2023-06-08,2023-06-09,150.0,139.0512,16.8667,31233.54,17.8378,-0.07,1
138231226,NK225MWE,-,2023-05-29,335.0,385.0,330.0,365.0,,,,,,,,,335.0,385.0,330.0,365.0,46.0,5.0,1656500.0,2023-23,31250.0,46.0,002,1,2023-06-08,2023-06-09,345.0,375.7418,16.8667,31233.54,15.5464,-0.07,1
138230026,NK225MWE,-,2023-05-29,40.0,77.0,40.0,63.0,,,,,,,,,40.0,77.0,40.0,63.0,491.0,53.0,3375100.0,2023-23,30000.0,491.0,002,1,2023-06-08,2023-06-09,57.0,63.0,16.8667,31233.54,19.2714,-0.07,1
148233726,NK225MWE,-,2023-05-29,1.0,12.0,1.0,8.0,,,,,,,,,1.0,12.0,1.0,8.0,3.0,1.0,2100.0,2023-23,33750.0,3.0,002,2,2023-06-08,2023-06-09,6.0,8.1068,16.8667,31233.54,20.4951,-0.07,1
148232726,NK225MWE,-,2023-05-29,37.0,41.0,37.0,37.0,,,,,,,,,37.0,41.0,37.0,37.0,108.0,6.0,400300.0,2023-23,32750.0,108.0,002,2,2023-06-08,2023-06-09,36.0,31.3649,16.8667,31233.54,19.0567,-0.07,1
138239226,NK225MWE,-,2023-05-29,30.0,31.0,29.0,29.0,,,,,,,,,30.0,31.0,29.0,29.0,3.0,2.0,9000.0,2023-23,29250.0,3.0,002,1,2023-06-08,2023-06-09,28.0,28.1053,16.8667,31233.54,23.477,-0.07,1
138239126,NK225MWE,-,2023-05-29,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-23,29125.0,0.0,002,1,2023-06-08,2023-06-09,25.0,26.7708,16.8667,31233.54,24.1374,-0.07,1
